,Attrition_Flag_Encoded,Customer_Age,Gender_Encoded,Dependent_count,Education_Level_Encoded,Marital_Status_Encoded,Income_Category_Encoded,Card_Category_Encoded,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Attrition_Flag_Encoded,1.0,0.01820313853255016,-0.03727169573136217,0.018990596311193958,0.00879600761045531,0.018597419945776284,-0.013577256438983172,0.0023535755024907796,0.013686851177909985,-0.15000522801913765,0.15244880632692603,0.20449050998160492,-0.02387299483616195,-0.2630528831292026,-0.0002850774939375256,-0.13106284781447078,-0.16859838141007916,-0.37140270118892665,-0.2900540068808917,-0.17841033156174843
Customer_Age,0.01820313853255016,1.0,-0.017311519826718854,-0.12225375200525321,-0.002369323926203083,-0.011265437362240944,0.023507629737948576,-0.018234705465419887,0.7889123589930508,-0.010931068804259482,0.054360998760120814,-0.0184518547587971,0.002476227359664691,0.014779894579644452,0.0011506778791898996,-0.06204209191981924,-0.04644649085469088,-0.06709686360086074,-0.012142548310869122,0.007114222226032007
Gender_Encoded,-0.03727169573136217,-0.017311519826718854,1.0,0.004562722282951368,-0.005087132091661771,-6.540022480899397e-06,0.7866082080783973,0.08009332669432952,-0.0067275641229937,0.003157028763036064,-0.011163296159006594,0.0399868515120871,0.4208062699837136,0.029658395958805685,0.4180590184885598,0.02671163607627824,0.024890077513178385,-0.06745354889069514,-0.00580042179572837,-0.25785083282241017
Dependent_count,0.018990596311193958,-0.12225375200525321,0.004562722282951368,1.0,0.00047150043822892534,0.0003367915453213974,0.06627784663019998,0.030469318827731566,-0.10306228148764927,-0.03907638897966843,-0.01076791848095198,-0.04050495976228984,0.06806460020347013,-0.002688145858857811,0.06829130387444331,-0.03543942896257459,0.025046237587382482,0.0499124766384954,0.011087180902770234,-0.03713515854004745
Education_Level_Encoded,0.00879600761045531,-0.002369323926203083,-0.005087132091661771,0.00047150043822892534,1.0,-0.014875418447498522,-0.011677272667682616,0.014988753010361771,0.006613298499714707,0.0007663492552928715,0.005760764069396285,-0.006279859440330606,-0.00235356446313992,-0.006800465441044978,-0.0017434030510262246,-0.010039817841435449,-0.007460203660617947,-0.004306710020175057,-0.01669159047872855,-0.00184856672977207
Marital_Status_Encoded,0.018597419945776284,-0.011265437362240944,-6.540022480899397e-06,0.0003367915453213974,-0.014875418447498522,1.0,-0.006557437642147302,0.043905440925290036,-0.012084168072838864,-0.0213930929068295,0.0017088409505291542,0.0014755752761834778,0.0312922395459485,-0.02538566656016151,0.03356151511116023,-0.03620954368606715,0.044552976098264994,0.07588844674562038,0.0002577033640247877,-0.027450774090966194
Income_Category_Encoded,-0.013577256438983172,0.023507629737948576,0.7866082080783973,0.06627784663019998,-0.011677272667682616,-0.006557437642147302,1.0,0.07732582312863011,0.022121895062454246,-0.0032019527362383143,-0.016310129911746067,0.02311271681480801,0.47597248299556794,0.03471823993403504,0.47276002971485226,0.01135160539724001,0.019651071687531208,-0.05456921152803058,-0.012657143447838574,-0.2464762375003876
Card_Category_Encoded,0.0023535755024907796,-0.018234705465419887,0.08009332669432952,0.030469318827731566,0.014988753010361771,0.043905440925290036,0.07732582312863011,1.0,-0.012535057339014432,-0.09407677273462563,-0.014628647516296488,-0.00044234433682937787,0.4924461884845577,0.02630439693653527,0.48998458426705516,0.007384648318102025,0.19600340804355826,0.13427476039842123,-0.00726146037230044,-0.1987109203207571
Months_on_book,0.013686851177909985,0.7889123589930508,-0.0067275641229937,-0.10306228148764927,0.006613298499714707,-0.012084168072838864,0.022121895062454246,-0.012535057339014432,1.0,-0.00920308023127444,0.07416351432950953,-0.010774478506729145,0.007507009229698237,0.008622804474098151,0.006732391627270253,-0.048959320126718116,-0.03859062947522644,-0.04981908353962511,-0.014071670900046846,-0.00754083697632563
Total_Relationship_Count,-0.15000522801913765,-0.010931068804259482,0.003157028763036064,-0.03907638897966843,0.0007663492552928715,-0.0213930929068295,-0.0032019527362383143,-0.09407677273462563,-0.00920308023127444,1.0,-0.003675376932207407,0.05520316331250555,-0.07138581742352747,0.013725848920523953,-0.07260136283372588,0.0501186436597206,-0.34722887963701443,-0.24189084971343594,0.04083114826057427,0.067662878041457
Months_Inactive_12_mon,0.15244880632692603,0.054360998760120814,-0.011163296159006594,-0.01076791848095198,0.005760764069396285,0.0017088409505291542,-0.016310129911746067,-0.014628647516296488,0.07416351432950953,-0.003675376932207407,1.0,0.029492910128659285,-0.02039379144345504,-0.04220960877980104,-0.01660538381048117,-0.03224671239481278,-0.03698242508478301,-0.04278703930774648,-0.03898933797671036,-0.0075026327688393415
Contacts_Count_12_mon,0.20449050998160492,-0.0184518547587971,0.0399868515120871,-0.04050495976228984,-0.006279859440330606,0.0014755752761834778,0.02311271681480801,-0.00044234433682937787,-0.010774478506729145,0.05520316331250555,0.029492910128659285,1.0,0.02081701171626793,-0.05391273122599859,0.02564596120868006,-0.024445115120385143,-0.11277392883883214,-0.15221260518404692,-0.09499691598377367,-0.05547128465245328
Credit_Limit,-0.02387299483616195,0.002476227359664691,0.4208062699837136,0.06806460020347013,-0.00235356446313992,0.0312922395459485,0.47597248299556794,0.4924461884845577,0.007507009229698237,-0.07138581742352747,-0.02039379144345504,0.02081701171626793,1.0,0.04249260734895824,0.995980543932001,0.012812535653393454,0.17173015046794077,0.07592691199468905,-0.0020198499941714303,-0.4829650714174503
Total_Revolving_Bal,-0.2630528831292026,0.014779894579644452,0.029658395958805685,-0.002688145858857811,-0.006800465441044978,-0.02538566656016151,0.03471823993403504,0.02630439693653527,0.008622804474098151,0.013725848920523953,-0.04220960877980104,-0.05391273122599859,0.04249260734895824,1.0,-0.047167127943430955,0.05817366445423314,0.06437047704790985,0.056060493046322143,0.08986100776026948,0.6240219910059064
Avg_Open_To_Buy,-0.0002850774939375256,0.0011506778791898996,0.4180590184885598,0.06829130387444331,-0.0017434030510262246,0.03356151511116023,0.47276002971485226,0.48998458426705516,0.006732391627270253,-0.07260136283372588,-0.01660538381048117,0.02564596120868006,0.995980543932001,-0.047167127943430955,1.0,0.0075945291959918825,0.1659232284970104,0.07088510162623113,-0.010075538362497083,-0.5388077476174624
Total_Amt_Chng_Q4_Q1,-0.13106284781447078,-0.06204209191981924,0.02671163607627824,-0.03543942896257459,-0.010039817841435449,-0.03620954368606715,0.01135160539724001,0.007384648318102025,-0.048959320126718116,0.0501186436597206,-0.03224671239481278,-0.024445115120385143,0.012812535653393454,0.05817366445423314,0.0075945291959918825,1.0,0.03967759237186188,0.005468567330772116,0.38418925603371645,0.03523483473073431
Total_Trans_Amt,-0.16859838141007916,-0.04644649085469088,0.024890077513178385,0.025046237587382482,-0.007460203660617947,0.044552976098264994,0.019651071687531208,0.19600340804355826,-0.03859062947522644,-0.34722887963701443,-0.03698242508478301,-0.11277392883883214,0.17173015046794077,0.06437047704790985,0.1659232284970104,0.03967759237186188,1.0,0.8071920346514367,0.08558097602856081,-0.08303424588646034
Total_Trans_Ct,-0.37140270118892665,-0.06709686360086074,-0.06745354889069514,0.0499124766384954,-0.004306710020175057,0.07588844674562038,-0.05456921152803058,0.13427476039842123,-0.04981908353962511,-0.24189084971343594,-0.04278703930774648,-0.15221260518404692,0.07592691199468905,0.056060493046322143,0.07088510162623113,0.005468567330772116,0.8071920346514367,1.0,0.11232443991563544,0.0028381122342156077
Total_Ct_Chng_Q4_Q1,-0.2900540068808917,-0.012142548310869122,-0.00580042179572837,0.011087180902770234,-0.01669159047872855,0.0002577033640247877,-0.012657143447838574,-0.00726146037230044,-0.014071670900046846,0.04083114826057427,-0.03898933797671036,-0.09499691598377367,-0.0020198499941714303,0.08986100776026948,-0.010075538362497083,0.38418925603371645,0.08558097602856081,0.11232443991563544,1.0,0.07414320991782065
Avg_Utilization_Ratio,-0.17841033156174843,0.007114222226032007,-0.25785083282241017,-0.03713515854004745,-0.00184856672977207,-0.027450774090966194,-0.2464762375003876,-0.1987109203207571,-0.00754083697632563,0.067662878041457,-0.0075026327688393415,-0.05547128465245328,-0.4829650714174503,0.6240219910059064,-0.5388077476174624,0.03523483473073431,-0.08303424588646034,0.0028381122342156077,0.07414320991782065,1.0
