Feature,Importance
Total_Trans_Amt,0.21164569139352754
Total_Trans_Ct,0.19820885136388525
Total_Revolving_Bal,0.12134463389253368
Total_Ct_Chng_Q4_Q1,0.09900834048708224
Avg_Utilization_Ratio,0.06083031423252671
Total_Amt_Chng_Q4_Q1,0.06007758632021789
Total_Relationship_Count,0.051482468018621594
Months_Inactive_12_mon,0.028658312921095747
Credit_Limit,0.028541380197946845
Avg_Open_To_Buy,0.028362072947492954
Customer_Age,0.027391995007091913
Contacts_Count_12_mon,0.022106456415131183
Months_on_book,0.019005964872905897
Dependent_count,0.00972603795046538
Education_Level_Encoded,0.009156192830868609
Income_Category_Encoded,0.0088094150119555
Gender_Encoded,0.007029625095455469
Marital_Status_Encoded,0.006259877930182108
Card_Category_Encoded,0.002354783111013691
